Mango Bubble Tea,Green Tea with Mango Juice and Tapioca Pearl,/Assets/Images/bubbleMango.jpg
Strawberry Lemonade Bubble Tea,StrawBerry Lemonade with Tapioca and strawberry popping pearls,/Assets/Images/bubbleStrawLem.jpg
Lychee Bubble Tea,Green Tea and Lychee juice with Tapioca pearls and fruits,/Assets/Images/bubbleLychee.jpg
Peach Bubble Tea,Peach juice with Tapioca and peach popping pearls,/Assets/Images/bubblePeach.jpg
Black Tea,Black tea with milk and tapioca pearls,/Assets/Images/bubbleBlackTea.jpg
Ice Bubble Coffee,Black tea and Coffee with Milk and Tapioca pearls,/Assets/Images/bubbleCoffee.jpg
Dragon Berry,Green Tea and Strawberry juice with assortment of Berries and dragonfruit popping pearls,/Assets/Images/bubbleBerry.jpg
Honey Dew,Green Tea and honeydew melon juice with assorted Tapioca and peach popping pearls,/Assets/Images/bubbleDew.jpg
Sunset Passion,Green Tea and passionfruit juice with tapioca and fruit slices,/Assets/Images/bubblePassion.jpg
Sea Tea,Grapefruit juice and cranberry juice with tapioca and peach toppings,/Assets/Images/bubbleSea.jpg
