Sushi,Your everyday Sushi roll with assorted toppings,/Assets/Images/sushiMango.jpg
California Roll,Rice Sushi roll with: avocado + crab + cucumber,/Assets/Images/californiaRoll.jpg
Salmon Roll,Rice Sushi roll with: cucumber + avocado + salmon + crab + sesame seeds,/Assets/Images/salmonRoll.jpg
Dynamite Roll,Rice Sushi roll with: crab + Japanese mayonnaise + avocado + cucumber + sesame seeds + fried shrimp,/Assets/Images/dynamiteRoll.jpg
Tuna Roll,Rice Sushi roll with: tuna + avocado,/Assets/Images/tunaRoll.jpg
Spicy Salmon Roll,Rice Sushi roll with: cucumber + avocado + salmon + crab + sesame seeds + spicy mayo,/Assets/Images/salmonRoll1.jpg
Kamikaze Roll,Rice Sushi roll with: cucumber + salmon + crab + avocado + soy sauce + spicy mayo,/Assets/Images/kamikazeRoll.jpg
Salmon Nigiri,Rice Sushi with a salmon slice on it,/Assets/Images/nigiriSquareSalmon.jpg
Tuna Nigiri,Rice Sushi with a tuna slice on it,/Assets/Images/tunaNigiri.jpg
Eel Sashimi,Thinly sliced eel with: soy sauce + sesame seeds + our famous seasoning,/Assets/Images/eelSashimi.jpg
